HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
48,51,115,0.5,0.793,0.345,20,52,111,0.452,0.682,0.3,16,41,1
41,60,106,0.449,0.826,0.28,20,57,101,0.386,0.733,0.306,22,43,1
42,46,97,0.412,0.632,0.385,16,44,99,0.524,0.545,0.318,23,42,0
44,47,117,0.444,0.735,0.316,24,50,115,0.466,0.667,0.407,25,48,1
56,53,132,0.524,0.7,0.441,40,52,105,0.425,0.667,0.366,25,44,1
65,66,119,0.471,0.611,0.343,32,45,141,0.557,0.652,0.429,36,51,0
54,39,113,0.472,0.688,0.474,25,38,120,0.531,0.833,0.375,20,32,0
55,60,100,0.387,0.808,0.269,19,55,87,0.389,0.917,0.171,21,52,1
37,59,121,0.456,0.867,0.326,28,49,136,0.556,0.857,0.563,37,41,0
38,43,108,0.396,0.733,0.27,24,54,102,0.433,0.722,0.25,23,52,1
41,50,134,0.632,0.769,0.452,32,43,122,0.5,0.813,0.325,32,32,1
62,53,114,0.449,0.875,0.317,22,50,99,0.44,0.75,0.371,23,40,1
65,63,107,0.436,0.857,0.2,27,40,132,0.478,0.69,0.5,32,60,0
64,51,113,0.506,0.889,0.355,29,41,112,0.464,0.857,0.345,19,42,1
40,48,97,0.424,0.875,0.268,19,39,112,0.481,0.857,0.313,25,43,0
45,61,120,0.524,0.6,0.421,25,41,139,0.546,0.818,0.385,25,37,0
42,46,112,0.487,0.852,0.333,19,41,105,0.481,0.72,0.391,24,31,1
56,49,131,0.567,0.69,0.3,35,43,107,0.455,0.68,0.263,18,39,1
44,52,114,0.462,0.882,0.333,27,38,116,0.433,0.727,0.389,24,51,0
39,59,105,0.476,0.75,0.429,18,51,92,0.384,0.727,0.242,24,46,1
66,41,109,0.43,0.696,0.302,26,43,121,0.561,0.684,0.485,27,40,0
60,61,98,0.414,0.857,0.298,28,45,117,0.511,1,0.371,22,45,0
62,44,111,0.461,0.706,0.333,26,52,85,0.359,0.765,0.372,17,35,1
57,47,107,0.472,0.813,0.313,26,41,105,0.554,0.462,0.459,29,38,1
58,50,132,0.516,0.889,0.4,32,51,119,0.449,0.833,0.348,28,34,1
55,56,109,0.461,0.944,0.313,24,44,114,0.453,0.917,0.231,27,48,0
37,54,133,0.578,0.75,0.515,36,43,112,0.398,0.848,0.323,22,43,1
51,38,91,0.384,0.385,0.278,22,40,126,0.549,0.75,0.35,32,52,0
63,46,135,0.515,0.8,0.346,26,55,109,0.449,0.75,0.355,25,40,1
40,45,110,0.525,0.9,0.25,27,43,97,0.372,0.645,0.31,19,47,1
42,65,116,0.506,0.783,0.5,24,47,86,0.379,0.682,0.167,20,45,1
43,52,132,0.541,0.774,0.41,31,52,115,0.446,0.833,0.349,25,41,1
47,49,116,0.518,0.6,0.313,28,41,131,0.542,0.6,0.417,31,42,0
57,53,95,0.352,0.769,0.289,21,50,113,0.489,0.75,0.5,34,50,0
58,50,114,0.494,0.885,0.36,29,38,134,0.481,0.706,0.5,34,49,0
66,61,101,0.411,0.875,0.225,28,38,116,0.488,0.655,0.429,21,51,0
64,48,100,0.45,0.913,0.226,25,33,121,0.566,0.81,0.563,29,37,0
41,56,124,0.478,0.903,0.385,18,40,127,0.544,0.895,0.375,31,44,0
60,44,98,0.411,0.765,0.306,21,50,110,0.5,0.765,0.349,30,40,0
62,52,113,0.419,0.852,0.25,19,49,104,0.379,0.686,0.242,18,56,1
41,55,108,0.481,0.885,0.269,21,38,119,0.536,0.81,0.5,29,38,0
50,65,118,0.462,0.81,0.472,27,51,105,0.421,0.684,0.375,28,47,1
43,51,124,0.521,0.762,0.313,37,55,104,0.414,0.727,0.39,24,36,1
39,54,98,0.405,0.679,0.344,25,50,85,0.373,0.882,0.258,17,47,1
53,38,83,0.358,0.952,0.192,17,40,116,0.455,0.929,0.283,29,55,0
42,37,103,0.432,0.846,0.444,25,48,94,0.389,0.938,0.2,21,50,1
45,40,107,0.476,0.688,0.356,28,33,120,0.532,0.722,0.414,29,33,0
46,49,113,0.417,0.938,0.391,26,44,137,0.545,0.815,0.5,28,50,0
53,63,115,0.433,0.69,0.354,27,38,135,0.505,0.727,0.333,33,62,0
66,48,86,0.384,0.625,0.278,23,50,104,0.418,0.944,0.344,27,49,0
64,56,80,0.353,0.789,0.208,14,42,95,0.404,0.5,0.258,26,64,0
47,52,122,0.471,0.607,0.265,29,57,115,0.398,0.722,0.289,24,56,1
57,49,108,0.482,0.571,0.311,25,38,137,0.533,0.727,0.46,36,44,0
58,60,113,0.518,0.682,0.375,30,47,103,0.483,0.625,0.3,23,41,1
66,39,101,0.413,0.917,0.326,27,52,102,0.4,0.8,0.4,26,51,0
65,38,93,0.327,0.75,0.385,18,56,102,0.451,0.76,0.321,23,55,0
54,41,115,0.495,1,0.444,25,37,122,0.544,0.783,0.231,30,43,0
61,37,125,0.568,0.889,0.63,29,45,114,0.462,0.905,0.31,27,40,1
59,45,131,0.573,0.8,0.464,33,44,106,0.434,0.793,0.333,15,35,1
62,51,125,0.565,0.857,0.447,33,50,102,0.414,0.727,0.353,25,42,1
43,40,105,0.449,0.941,0.463,22,31,113,0.56,0.913,0.32,27,38,0
42,55,107,0.459,0.826,0.294,22,40,98,0.514,0.739,0.333,23,36,1
57,60,93,0.396,0.7,0.182,18,53,96,0.379,0.714,0.357,24,52,0
59,48,95,0.375,0.711,0.242,21,43,112,0.506,0.889,0.4,27,42,0
65,50,117,0.44,0.786,0.326,27,45,128,0.506,0.893,0.441,29,42,0
61,41,127,0.425,0.895,0.389,30,58,120,0.478,0.917,0.414,30,51,1
37,56,124,0.524,0.727,0.5,25,41,115,0.523,0.778,0.281,30,39,1
44,58,126,0.56,0.75,0.476,27,40,114,0.525,0.826,0.355,29,25,1
46,47,111,0.517,0.545,0.433,29,43,110,0.466,0.68,0.379,19,44,1
54,53,118,0.449,0.696,0.438,25,46,119,0.442,0.923,0.314,29,52,0
55,64,103,0.451,0.769,0.407,23,41,106,0.456,0.789,0.409,25,52,0
38,66,113,0.512,0.882,0.389,31,42,107,0.425,0.778,0.3,18,46,1
52,63,108,0.432,0.769,0.333,23,48,120,0.431,0.696,0.41,30,51,0
45,39,115,0.476,0.697,0.35,25,37,104,0.513,0.556,0.333,23,48,1
42,60,114,0.469,0.8,0.326,28,39,120,0.477,0.84,0.459,25,50,0
62,43,108,0.488,0.773,0.241,21,37,104,0.532,0.75,0.393,24,39,1
58,51,112,0.441,0.889,0.333,23,48,101,0.488,0.786,0.32,22,40,1
47,57,99,0.423,0.667,0.367,25,53,94,0.357,0.526,0.333,23,55,1
65,40,101,0.488,0.786,0.25,21,35,111,0.438,0.893,0.286,24,46,0
49,64,112,0.5,0.889,0.316,26,44,98,0.439,0.7,0.343,22,40,1
61,48,110,0.481,0.69,0.462,20,43,106,0.487,0.88,0.267,26,38,1
